id_mesa,id_establecimiento,id_centro_de_distribucion,descripcion,ciudadanos_habilitados,extranjera
2472,4187,11,2472,349,NO
2473,4187,11,2473,349,NO
2474,4187,11,2474,349,NO
2475,4187,11,2475,349,NO
2476,4187,11,2476,349,NO
2477,4187,11,2477,349,NO
2478,4187,11,2478,349,NO
2479,4187,11,2479,349,NO
2480,4213,11,2480,349,NO
2481,4213,11,2481,349,NO
2482,4213,11,2482,349,NO
2483,4213,11,2483,349,NO
2484,4213,11,2484,349,NO
2485,4213,11,2485,349,NO
2486,4213,11,2486,349,NO
2487,4213,11,2487,349,NO
2488,4213,11,2488,349,NO
2489,4213,11,2489,349,NO
2490,4213,11,2490,349,NO
2491,4245,11,2491,349,NO
2492,4245,11,2492,349,NO
2493,4245,11,2493,349,NO
2494,4245,11,2494,349,NO
2495,4245,11,2495,349,NO
2496,4245,11,2496,349,NO
2497,4245,11,2497,349,NO
2498,4245,11,2498,349,NO
2499,4245,11,2499,349,NO
2500,4245,11,2500,349,NO
2501,4245,11,2501,349,NO
2502,4245,11,2502,349,NO
2503,4245,11,2503,349,NO
2504,4245,11,2504,349,NO
2505,4245,11,2505,349,NO
2506,4245,11,2506,349,NO
2507,4154,11,2507,349,NO
2508,4154,11,2508,349,NO
2509,4154,11,2509,349,NO
2510,4154,11,2510,349,NO
2511,4154,11,2511,348,NO
2512,4154,11,2512,348,NO
2513,4154,11,2513,348,NO
2514,4154,11,2514,348,NO
2515,4154,11,2515,348,NO
2516,4154,11,2516,348,NO
2517,4154,11,2517,348,NO
2518,4154,11,2518,348,NO
2519,4154,11,2519,348,NO
2520,4154,11,2520,348,NO
2521,4154,11,2521,348,NO
2522,4188,11,2522,348,NO
2523,4188,11,2523,348,NO
2524,4188,11,2524,348,NO
2525,4188,11,2525,348,NO
2526,4188,11,2526,348,NO
2527,4188,11,2527,348,NO
2528,8094,11,2528,350,NO
2529,8094,11,2529,350,NO
2530,8094,11,2530,350,NO
2531,8094,11,2531,350,NO
2532,8094,11,2532,350,NO
2533,8094,11,2533,350,NO
2534,8094,11,2534,350,NO
2535,8094,11,2535,350,NO
2536,8094,11,2536,350,NO
2537,8094,11,2537,350,NO
2538,8094,11,2538,350,NO
2539,8094,11,2539,350,NO
2540,8094,11,2540,350,NO
2541,8094,11,2541,350,NO
2542,8094,11,2542,350,NO
2543,8094,11,2543,350,NO
2544,8094,11,2544,350,NO
2545,8094,11,2545,350,NO
2546,8094,11,2546,350,NO
2547,8094,11,2547,350,NO
2548,8094,11,2548,350,NO
2549,8094,11,2549,350,NO
2550,8094,11,2550,350,NO
2551,4199,11,2551,350,NO
2552,4199,11,2552,350,NO
2553,4199,11,2553,350,NO
2554,4199,11,2554,350,NO
2555,4199,11,2555,350,NO
2556,4199,11,2556,350,NO
2557,4199,11,2557,350,NO
2558,4199,11,2558,350,NO
2559,4199,11,2559,350,NO
2560,8480,11,2560,350,NO
2561,8480,11,2561,350,NO
2562,8480,11,2562,350,NO
2563,4198,11,2563,350,NO
2564,4198,11,2564,350,NO
2565,4198,11,2565,350,NO
2566,4198,11,2566,350,NO
2567,4198,11,2567,350,NO
2568,4198,11,2568,350,NO
2569,4198,11,2569,350,NO
2570,4198,11,2570,350,NO
2571,4198,11,2571,350,NO
2572,8474,11,2572,350,NO
2573,8474,11,2573,350,NO
2574,8474,11,2574,350,NO
2575,8474,11,2575,350,NO
2576,8477,11,2576,350,NO
2577,8477,11,2577,350,NO
2578,8477,11,2578,350,NO
2579,8477,11,2579,350,NO
2580,8477,11,2580,350,NO
2581,8477,11,2581,350,NO
2582,8477,11,2582,350,NO
2583,8477,11,2583,350,NO
2584,8096,11,2584,350,NO
2585,8096,11,2585,350,NO
2586,8096,11,2586,350,NO
2587,8096,11,2587,350,NO
2588,9072,11,2588,350,NO
2589,9072,11,2589,350,NO
2590,9072,11,2590,350,NO
2591,9072,11,2591,350,NO
2592,9072,11,2592,350,NO
2593,9072,11,2593,350,NO
2594,9072,11,2594,350,NO
2595,9072,11,2595,350,NO
2596,9072,11,2596,350,NO
2597,9072,11,2597,350,NO
2598,9072,11,2598,350,NO
2599,9072,11,2599,350,NO
2600,9072,11,2600,350,NO
2601,9072,11,2601,349,NO
2602,4194,11,2602,348,NO
2603,4194,11,2603,348,NO
2604,4194,11,2604,348,NO
2605,4194,11,2605,348,NO
2606,4194,11,2606,348,NO
2607,4194,11,2607,348,NO
2608,4194,11,2608,348,NO
2609,4194,11,2609,348,NO
2610,4194,11,2610,348,NO
2611,4194,11,2611,348,NO
2612,4194,11,2612,348,NO
2613,4194,11,2613,348,NO
2614,4194,11,2614,348,NO
2615,4194,11,2615,348,NO
2616,4194,11,2616,348,NO
2617,4194,11,2617,348,NO
2618,4194,11,2618,348,NO
2619,4194,11,2619,348,NO
2620,4194,11,2620,348,NO
2621,4194,11,2621,348,NO
2622,4194,11,2622,348,NO
2623,4194,11,2623,348,NO
2624,4210,11,2624,348,NO
2625,4210,11,2625,348,NO
2626,4210,11,2626,348,NO
2627,4210,11,2627,348,NO
2628,4210,11,2628,348,NO
2629,4210,11,2629,348,NO
2630,4210,11,2630,348,NO
2631,4210,11,2631,348,NO
2632,4210,11,2632,348,NO
2633,4210,11,2633,348,NO
2634,4210,11,2634,348,NO
2635,4210,11,2635,348,NO
2636,4210,11,2636,348,NO
2637,4210,11,2637,348,NO
2638,4210,11,2638,348,NO
2639,4141,11,2639,348,NO
2640,4141,11,2640,348,NO
2641,4141,11,2641,348,NO
2642,4141,11,2642,348,NO
2643,4141,11,2643,348,NO
2644,4141,11,2644,348,NO
2645,4141,11,2645,348,NO
2646,4141,11,2646,348,NO
2647,4141,11,2647,348,NO
2648,4141,11,2648,348,NO
2649,4141,11,2649,348,NO
2650,4141,11,2650,348,NO
2651,4141,11,2651,348,NO
2652,4141,11,2652,348,NO
2653,4144,11,2653,348,NO
2654,4144,11,2654,348,NO
2655,4144,11,2655,348,NO
2656,4144,11,2656,348,NO
2657,4144,11,2657,348,NO
2658,4144,11,2658,348,NO
2659,4144,11,2659,348,NO
2660,4144,11,2660,348,NO
2661,4144,11,2661,348,NO
2662,4144,11,2662,348,NO
2663,4144,11,2663,348,NO
2664,4144,11,2664,348,NO
2665,4144,11,2665,348,NO
2666,4144,11,2666,348,NO
2667,4144,11,2667,348,NO
2668,4144,11,2668,348,NO
2669,4147,11,2669,348,NO
2670,4147,11,2670,348,NO
2671,4147,11,2671,348,NO
2672,4147,11,2672,348,NO
2673,4147,11,2673,348,NO
2674,4147,11,2674,348,NO
2675,4147,11,2675,348,NO
2676,4147,11,2676,348,NO
2677,4147,11,2677,348,NO
2678,4147,11,2678,348,NO
2679,4147,11,2679,348,NO
2680,8486,11,2680,348,NO
2681,8486,11,2681,348,NO
2682,8486,11,2682,348,NO
2683,8486,11,2683,347,NO
2684,8486,11,2684,347,NO
2685,8486,11,2685,347,NO
2686,8486,11,2686,347,NO
2687,8486,11,2687,347,NO
2688,8486,11,2688,347,NO
2689,8486,11,2689,347,NO
2690,8486,11,2690,347,NO
2691,5154,11,2691,347,NO
2692,5154,11,2692,347,NO
2693,5154,11,2693,347,NO
2694,5154,11,2694,347,NO
2695,5154,11,2695,347,NO
2696,5154,11,2696,347,NO
