id_circ,barrio,perimetro,area,total,masculino,femenino,id_comuna,id_barrio
93,PARQUE AVELLANEDA,5174.73238553000,1415925.53077000007,8100,4015,4085,9,31
94,PARQUE AVELLANEDA,4489.62863074000,960440.57482200000,10740,5222,5518,9,31
95,MATADEROS,5124.71722700000,1558677.17613000004,16293,8065,8228,9,18
96,MATADEROS,5230.86940568000,1678268.75973000005,11962,6179,5783,9,18
97,MATADEROS,5291.79023095000,1805659.84150000010,13763,7036,6727,9,18
98,MATADEROS,6223.31573429000,2355961.27412999980,22042,11265,10777,9,18
99,LINIERS,4418.28600347000,982914.70459099999,10987,5457,5530,9,39
100,LINIERS,4446.49039697000,1159512.40057000006,12660,6167,6493,9,39
101,LINIERS,8092.23719320000,2231801.26078000013,17992,8968,9024,9,39
102,VERSALLES,5650.12164913000,1407277.51913999999,12488,6159,6329,10,40
103,VILLA REAL,5071.21209842000,1334764.20784000005,12898,6409,6489,10,9
104,MONTE CASTRO,4716.07563193000,1049457.40422999999,11788,5696,6092,10,8
105,MONTE CASTRO,5032.97579825000,1576415.07354000001,17697,8496,9201,10,8
106,VILLA LURO,5317.87519177000,1109872.63185000001,10709,5219,5490,10,16
107,VILLA LURO,5233.49388141000,1456865.39308999991,17390,8421,8969,10,16
108,VELEZ SARSFIELD,4014.41012735000,993115.46231700003,11216,5422,5794,10,15
109,VELEZ SARSFIELD,5078.35044892000,1407835.34933000011,18865,8993,9872,10,15
110,FLORESTA,3764.37401368000,821638.77541899995,9846,4706,5140,10,11
113,VILLA SANTA RITA,4542.72580394000,1070609.72258999990,12152,5845,6307,11,7
114,VILLA SANTA RITA,4542.76742263000,1083337.84002000000,14866,6945,7921,11,7
115,VILLA GRAL. MITRE,4206.81336686000,915447.12373600004,12357,5962,6395,11,26
116,VILLA GRAL. MITRE,4957.77153875000,1247255.15391999995,17082,8159,8923,11,26
117,VILLA DEL PARQUE,4988.99500475000,1318915.85896000010,17647,8356,9291,11,4
118,VILLA DEL PARQUE,5685.55336752000,849980.08347299998,13207,6059,7148,11,4
119,VILLA DEL PARQUE,4765.84725070000,1229983.34810999990,17728,8164,9564,11,4
120,VILLA DEVOTO,5385.86518722000,1619167.20895999996,18572,8786,9786,11,38
121,VILLA DEVOTO,5311.99203511000,1619905.87425999995,15046,7406,7640,11,38
122,VILLA DEVOTO,5988.15314803000,1583897.11617999990,13900,6521,7379,11,38
123,VILLA DEVOTO,5652.46014945000,1580839.74075999996,13508,6436,7072,11,38
124,VILLA PUEYRREDON,5428.70276858000,1737552.54074999993,16048,7607,8441,12,37
125,VILLA PUEYRREDON,5165.18927425000,1565359.82793999999,18747,8955,9792,12,37
126,VILLA URQUIZA,4895.74546912000,1391969.70363999996,16660,8131,8529,12,23
127,VILLA URQUIZA,4486.13488424000,1190490.00893000001,20712,9633,11079,12,23
128,VILLA URQUIZA,5021.99123207000,1381378.28288000007,16615,7945,8670,12,23
129,VILLA URQUIZA,5107.04622449000,1484636.29981000000,22633,10653,11980,12,23
130,COGHLAN,4630.26005463000,1280050.87055000011,15998,7573,8425,12,22
131,SAAVEDRA,7109.03899680000,1977721.93130999990,5485,2666,2819,12,21
132,SAAVEDRA,6085.93580279000,2003272.02371999994,19105,9313,9792,12,21
133,SAAVEDRA,5263.92871669000,1555178.10174000007,18611,8905,9706,12,21
134,NUÑEZ,6144.47722195000,1595513.61398999998,8389,4120,4269,13,47
135,NUÑEZ,5049.31497894000,1435842.99343000003,9792,4779,5013,13,47
136,NUÑEZ,4018.35072893000,703315.35881600005,14638,6797,7841,13,47
137,NUÑEZ,3178.12401899000,616866.87101500004,12488,5742,6746,13,47
138,BELGRANO,4578.98964049000,888040.82187099999,27460,12258,15202,13,44
139,BELGRANO,3046.01347048000,525616.43717199995,18063,8121,9942,13,44
140,BELGRANO,3951.05203501000,466228.79244599998,8070,3908,4162,13,44
141,BELGRANO,15975.91175260000,4071107.64611000009,14230,6883,7347,13,44
142,BELGRANO,3633.96477299000,786067.48247399996,24502,11002,13500,13,44
143,BELGRANO,2911.02493846000,456500.93212100002,17625,7629,9996,13,44
144,BELGRANO,3697.26994965000,736411.41567400005,8353,3776,4577,13,44
145,COLEGIALES,3681.98120907000,889148.76699699997,14765,6869,7896,13,24
146,COLEGIALES,3565.23974920000,765595.09136299998,11466,5421,6045,13,24
147,COLEGIALES,3751.22827237000,633963.63410400006,20301,8967,11334,13,24
148,PALERMO,4826.22857971000,1008574.94787000003,21337,9753,11584,14,34
149,PALERMO,16029.27259610000,5331336.47836000007,22672,10290,12382,14,34
150,PALERMO,8196.66982808000,2687803.20415000012,13165,6154,7011,14,34
151,PALERMO,5415.19500033000,1597314.30838999990,24655,11170,13485,14,34
152,PALERMO,3317.03335749000,569756.67187099997,20270,8887,11383,14,34
153,PALERMO,3047.39512350000,538123.03612700000,24918,10938,13980,14,34
154,PALERMO,3649.42689756000,764059.72938799998,27373,12362,15011,14,34
155,PALERMO,5562.40871708000,1416850.18111000000,23252,11303,11949,14,34
156,PALERMO,3987.41695057000,1005586.93535000004,11998,5847,6151,14,34
157,PALERMO,3658.93829958000,854185.42493600002,15921,7630,8291,14,34
158,VILLA CRESPO,3878.31856457000,742959.55238200002,19488,9140,10348,15,3
159,VILLA CRESPO,3384.28765896000,690945.49552400003,12238,5857,6381,15,3
160,VILLA CRESPO,5113.70612569000,1034522.12291000003,23031,10872,12159,15,3
161,VILLA CRESPO,4846.38692469000,1144949.87171000009,20173,9631,10542,15,3
162,PATERNAL,7083.63914393000,2229856.74892999977,17116,8558,8558,15,2
163,CHACARITA,5552.51934428000,1166537.28830999997,12324,6136,6188,15,1
164,CHACARITA,6194.60805713000,1951553.07230000012,10840,5296,5544,15,1
165,VILLA ORTUZAR,5682.32439895000,1853740.24650999997,18875,9050,9825,15,29
166,PARQUE CHAS,4524.98563466000,1384888.62690000003,15685,7487,8198,15,27
167,AGRONOMIA,6564.49904517000,2122760.94731999980,12095,5764,6331,15,28
56,NUEVA POMPEYA,5312.17666961000,1802978.85302000004,9544,5032,4512,4,33
57,NUEVA POMPEYA,6341.98611558000,1681075.20221000002,18768,9532,9236,4,33
89,VILLA LUGANO,10058.06223910000,4524565.79088000022,46140,23699,22441,8,19
90,VILLA LUGANO,10870.01898480000,4771793.77496999968,42538,21474,21064,8,19
112,FLORESTA,3067.80447799000,542171.08825499995,8290,3945,4345,10,11
111,FLORESTA,4035.53592907000,957495.07740600000,13465,6463,7002,10,11
